,en,fr,it,zh,de,es,ko,sv,hu,ja,nl,ru
NO_STONE,You don't have any stone!,Vous n'avez pas de pierre!,Non hai pietra!,没有石头,Du hast kein Stein!,No tienes piedras!,,,Nincs köved!,石がないじゃないか！,Je hebt geen steen!,У вас нет камня!
SILICON,Silicon,Silicium,Silicio,硅,Silikon,Silicio,,,Szilícium,シリコン,Silicium,Кремний
COMP_OF_STONE_BEING_CR,Composition of stone being crushed,Composition de la pierre écrasée,Composizione della pietra spaccata,碎石成分,Zusammensetzung des Stein der zermahlt wird,Composición de la piedra en proceso de pulverización,,,A zúzás alatt lévő kő összetétele,粉砕する石の組成,De samenstelling van de verbrijzelde stenen,Состав измельчаемого камня
COLDEST_STAR_TEMPERATURE,Coldest star temperature,Température de l'étoile la plus froide,Temperatura della stella più fredda,恒星温度,Kälteste Sterntemperatur,Temperatura estelar más baja,,,Leghidegebb csillag hőmérséklete,最も冷たい星の温度,Koudste ster temperatuur,Температура самой холодной звезды
HOTTEST_STAR_TEMPERATURE,Hottest star temperature,Température de l'étoile la plus chaude,Temperatura della stella più calda,,Höchste Sterntemperatur,Temperatura estelar más alta,,,Legmelegebb csillag hőmérséklete,最も熱い星の温度,Heetste ster temperatuur,Температура самой горячей звезды
CLICK_TO_EDIT,Click to edit,Cliquez pour modifier,Clicca per modificare,编辑,Klicke zum Verändern,Haz clic para editar,,,Kattints a módosításhoz,クリックで編集,Klik om aan te passen,Нажмите для редактирования
DONE,Done,Terminé,Fatto,完成,Fertig,Listo,,,Kész,完了,Klaar,Готово
NUMBER_OF_SYSTEMS,Number of systems,Nombre de systèmes,Numero di sistemi,星系数量,Anzahl der Systeme,Número de sistemas,,,Rendszerek száma,システム数,Aantal systemen,Количество систем
GALAXY_ENTERED,Galaxy entered,Galaxie visitée,Galassia visitata,星系已进入,Galaxie betreten,Galaxia accedida,,,Megtekintve,銀河系に入る,Heelal bezocht,Посещено галактик
CH4_NAME,Methane,Méthane,Metano,甲烷,Methan,Metano,,,Metán,メタン,Methaan,Метан
CO2_NAME,Carbon dioxide,Dioxyde de carbone,Anidride carbonica,二氧化碳,Kohlenstoffdioxid,Dióxido de carbono,,,Szén-dioxid,二酸化炭素,Koolstofdioxide,Диоксид углерода
O_NAME,Oxygen,Oxygène,Ossigeno,氧,Sauerstoff,Oxígeno,,,Oxigén,酸素,Zuurstof,Кислород
H_NAME,Hydrogen,Hydrogène,Idrogeno,氢,Wasserstoff,Hidrógeno,,,Hidrogén,水素,Waterstof,Водород
AURORA,Aurora,Aurore,Aurora,极光,Polarlichter,Aurora,,,Auróra,オーロラ,Aurora,Сияние
AURORA_DESC,Auroras are colorful lights caused by interactions of solar wind with the planet's magnetosphere. They have all sorts of effects on the tile that they happen to shine.,Les aurores sont des voiles lumineuses créées par l'interaction entre le vent solaire et la magnétosphère de la planète. Elles ont des effets variés sur la tuile illuminée.,,极光是太阳风与行星磁层相互作用产生的彩色光芒。它们对碰巧发光的地区有着各式各样的影响。,Polarlichter sind Leuchterscheinungen die durch interaktionen zwischen geladenen Sonnenteilchen und dem Magnetfeld des Planeten.Dies bewirken alles mögliche auf das Feld auf das sie leuchten.,Las auroras son coloridas luces causadas por la interacción entre vientos solares y la magnetosfera del planeta. Tienen varios efectos en la casilla donde iluminan.,,,"Az aurórák színes fények, amik anapszél és a bolygő magneses mezejének kölcsönatása miatt keletkeznek. Mindenféle hatásuk van arra a négyzetre, amin vannak.",オーロラは、太陽風と地球の磁気圏の相互作用によって引き起こされるカラフルな光です。オーロラが輝くタイルには、さまざまな効果があります。,Auroras zijn kleurrijke lichten die veroorzaakt worden door interacties tussen de wind en de magnetosfeer van de planeet. Ze hebben allerlei effecten op de velden waar ze schijnen.,"Сияние - это разноцветные огни, вызванные взаимодействием солнечного ветра с магнитосферой планеты. Оно накладывает баффы на плитку."
AURORA_INTENSITY,Aurora intensity,Intensité de l'aurore,Intensità dell'aurora,加成倍率,Polarlichtintensität,Intensidad de la aurora,,,Auróraerősség,オーロラ強度,Aurora intensiteit,Интенсивность сияния
COLLECT_ALL_PLANET,Collect all resources on this planet,Collecter toutes les ressources sur cette planète,Raccogliere tutte le risorse su questo pianeta,收集,Sammle alle Ressourcen auf diesem Planeten,Recolectar todos los recursos en este planeta,,,Minden összegyűjtése ezen a bolygón,この惑星にあるすべての資源を集める,Verzamel alle grondstoffen op deze planeet,Собрать все ресурсы на этой планете
COLLECT_ALL_SYSTEM,Collect all resources in this system,Collecter toutes les ressources dans ce système,Raccogliere tutte le risorse in questo sistema,收集,Sammle alle Ressourcen in diesem System,Recolectar todos los recursos en este sistema,,,Minden összegyűjtése ebben a rendszerben,このシステム内のすべてのリソースを収集する,Verzamel alle grondstoffen in dit zonnestelsel,Собрать все ресурсы в этой системе
COLLECT_ALL_GALAXY,Collect all resources in this galaxy,Collecter toutes les ressources dans cette galaxie,Raccogliere tutte le risorse in questa galassia,收集,Sammle alle Ressourcen in dieser Galaxie,Recolectar todos los recursos en esta galaxia,,,Minden összegyűjtése ebben a galaxisban,この銀河系にあるすべての資源を集めよう,Verzamel alle grondstoffen in dit heelal,Собрать все ресурсы на этой галактике
COLLECT_ALL_CLUSTER,Collect all resources in this cluster.\nUnterraformed planets will not be collected.,Collecter toutes les ressources dans cet amas,Raccogliere tutte le risorse in questo ammasso,,Sammle alle Ressourcen dieses Clusters.\n Nicht terraformierte Planeten werden ignoriert. ,Recolectar todos los recursos en este clúster.\nRecursos en planetas sin terraformar no serán recolectados.,,,Minden összegyűjtése ebben a halmazbam. Csak az átalaított bolygókra hat.,この銀河団の資源をすべて回収する。\nテラフォーミングしていない惑星は対象外です。,Verzamel alle grondstoffen in deze cluster.\nVerzamelt enkel geterraformeerde planeten.,Собрать все ресурсы в этом кластере.\nСобирает только с терраформированных планет.
RESOURCES_COLLECTED,Resources collected,Ressources collectées,Risorse raccolte,资源已收集,Ressourcen gesammelt,Recursos recolectados,,,Anyagok összegyűjtve,収集した資源,Grondstoffen verzameld,Собрано ресурсов
ICE,Ice,Glace,Ghiaccio,冰,Eis,Hielo,얼음,,Jég,氷,IJs,Лед
METAL_COMP,{metal} {comp},{comp} en {metal},{comp} di {metal},{metal} {comp},{metal} {comp},{comp} de {metal},{metal} {comp},,{metal}{comp},{metal} {comp},{metal} {comp},{metal} {comp}
ARMOR,Armor,Blindage,Armatura,装甲,Rüstung,Armadura,,,Páncélzat,アーマー,Pantser,Броня
WHEELS,Wheels,Roues,Ruote,轮胎,Reifen,Ruedas, 바퀴,,Kerék,ホイール,Wielen,Колеса
CC,Cargo container,Conteneur,Contenitore,集装箱,Frachtcontainer, Contenedor de carga,,,Tárolóegység,カーゴコンテナ,Opslagcontainer,Грузовой контейнер
HEALTH_POINTS,Health points,Points de vie,Punti di vita,生命值,Lebenspunkte,Puntos de vida,,,Életpontok,健康ポイント,Levenspunten,Очки здоровья
ATTACK,Attack,Attaque,Attacco,攻击力,Angriff,Ataque,공격력,,Sebzés,攻撃,Aanval,Атака
DEFENSE,Defense,Défense,Difesa,防御力,Abwehr,Defensa,방어력,,,ディフェンス,Verdediging,Защита
CARGO_CAPACITY,Cargo capacity,Capacité cargo,Capacità carica,集装箱容量,Frachtkapazität,Capacidad de carga,,,Tárolókapacitás,積荷容量,Opslagcapaciteit,Грузоподъемность
MOVEMENT_SPEED,Movement speed,Vitesse du mouvement,Velocità di movimento,移速,Bewegungsgeschwindigkeit,Velocidad de movimiento,,,Mozgási sebesség,移動速度,Snelheid,Скорость передвежения
SELECT,Select,Sélectionner,Selezionare,选择,Auswählen,Seleccionar,선택하기,,Kiválasztás,選択,Selecteer,Выбрать
SELECT_X,{select} {something},{select} {something},{select} {something},{select} {something},{something} {select},{select} {something},{something} {select},,{something} {select}a,{select} {something},{select} {something},{select} {something}
CLICK_TO_CHANGE,Click to change,Cliquez pour changer,Clicca per cambiare,改装,Klicke zum änderen,Haz clic para cambiar,,,Kattints a változtatáshoz,クリックで変更,Klik om aan te passen,Нажмите чтобы изменить
RED_LASER,Red {laser},{laser} rouge,{laser} rosso,红光 {laser},Roter {laser},{laser} rojo,,,Vörös {laser},レッド {laser},Rode {laser},Красный {laser}
ORANGE_LASER,Orange {laser},{laser} orange,{laser} arancione,橙光 {laser},Oranger {laser},{laser} naranjo,,,Narancs {laser},オレンジ {laser},Oranje {laser},Оранжевый {laser}
YELLOW_LASER,Yellow {laser},{laser} jaune,{laser} giallo,黄光 {laser},Gelber {laser},{laser} amarillo,,,Sárga {laser},イエロー {laser},Gele {laser},Желтый {laser}
GREEN_LASER,Green {laser},{laser} vert,{laser} verde,绿光 {laser},Grüner {laser},{laser} verde,,,Zöld {laser},グリーン {laser},Groene {laser},Зеленый {laser}
BLUE_LASER,Blue {laser},{laser} bleu,,蓝光 {laser},Blauer {laser},{laser} azul,,,Kék {laser},ブルー {laser},Blauwe {laser},Синий {laser}
PURPLE_LASER,Purple {laser},{laser} violet,,紫光 {laser},Violet {laser},{laser} morado,,,Ibolya {laser},パープル {laser},Paarse {laser},Фиолетовый {laser}
UV_LASER,Ultraviolet {laser},{laser} ultraviolet,,紫外线 {laser},Ultraviolet {laser},{laser} ultravioleta,,,Ultraibolya {laser},紫外線 {laser},Ultraviolet{laser},Ультрафиолетовый {laser}
XRAY_LASER,X-ray {laser},{laser} rayon X,,X光 {laser},Röntgen {laser},{laser} de rayos X,,,Röntgen{laser},X線 {laser},Röngte{laser},X-ray {laser}
GAMMARAY_LASER,Gamma-ray {laser},{laser} rayon gamma,,伽马射线 {laser},Gammastrahl {laser},{laser} de rayos Gamma,,,Gamma{laser},γ線 {laser},Gamma{laser},Гамма-луч {laser}
ULTRAGAMMARAY_LASER,Ultragamma-ray {laser},{laser} rayon ultragamma,,伽玛超衰变 {laser},Ultra Gammastrahl {laser},{laser} de rayos Ultragamma,,,Ultragamma{laser},超γ線 {laser},Ultragamma{laser},Ультрагамма-луч {laser}
MAE_SC,Macro Engineering,Méga-ingénierie,,巨型工程计划,Makro-Projekte,Macro-ingeniería,,,Makroépítészet,マクロエンジニアリング,Macro Techniek,Макроинженерия
CD_SC,Chemical drive,,,电化学加速引擎,Chemischer Antriebe,Combustión química,,,Kémiai meghajtó,ケミカルドライブ,Chemische aanvoer,Химический двигатель
ID_SC,Ion drive,Moteur ionique,,等离子体加速引擎,Ionen Antriebe,Propulsión iónica,,,Ionmeghajtó,イオンドライブ,Ionen aanvoer,Ионный двигатель
FTL_SC,FTL drive,Moteur FTL,,超光速引擎,Überlicht Antriebe,Propulsión FTL,,,FTL meghajtó,FTLドライブ,Superluminale aanvoer,FTL двигатель
IGD_SC,Intergalactic drive,Moteur intergalactique,,超光速波轮增压,Intergalaktische Antriebe,Vuelo intergaláctico,,,Intergalaktikus meghajtó,インターギャラクティックドライブ,Intergalactische aanvoer,Межгалактический двигатель
FD_SC,Fusion drive,Moteur à fusion,,可控核聚变引擎,Fusions Antriebe,Propulsión de fusión,,,Fúziós meghajtó,フュージョンドライブ,Fusie aanvoer,Термоядерный двигатель
PD_SC,Particle drive,Moteur à particules,,粒子轰击型变速箱,Photonen Antriebe,Propulsión fotónica,,,Részecskemeghajtó,パーティクルドライブ,Partikel-aanvoer,Элементарный двигатель
WEAPONS,Weapons,Armes,Armi,等离子枪,Waffen,Armas,,,Fegyverek,武器,Wapens,Оружие
